Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16713508k(3967660k free), swap 32966436k(9862712k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.600: [GC (Allocation Failure) 0.600: [DefNew: 960K->63K(960K), 0.0033179 secs] 94039K->94033K(524224K), 0.0034069 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.607: [GC (Allocation Failure) 0.607: [DefNew: 959K->63K(960K), 0.0025914 secs] 94929K->94925K(524224K), 0.0026468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.612: [GC (Allocation Failure) 0.612: [DefNew: 959K->63K(960K), 0.0023834 secs] 95822K->95816K(524224K), 0.0024331 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.619: [GC (Allocation Failure) 0.619: [DefNew: 959K->63K(960K), 0.0025889 secs] 96712K->96706K(524224K), 0.0026425 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.624: [GC (Allocation Failure) 0.624: [DefNew: 959K->63K(960K), 0.0027976 secs] 97603K->97598K(524224K), 0.0028530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.629: [GC (Allocation Failure) 0.629: [DefNew: 959K->63K(960K), 0.0022150 secs] 98494K->98489K(524224K), 0.0022794 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.633: [GC (Allocation Failure) 0.633: [DefNew: 959K->64K(960K), 0.0022436 secs] 99388K->99382K(524224K), 0.0022858 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.638: [GC (Allocation Failure) 0.638: [DefNew: 960K->64K(960K), 0.0028714 secs] 100278K->100272K(524224K), 0.0029238 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.643: [GC (Allocation Failure) 0.643: [DefNew: 960K->63K(960K), 0.0027870 secs] 101168K->101163K(524224K), 0.0028600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.649: [GC (Allocation Failure) 0.649: [DefNew: 959K->63K(960K), 0.0030832 secs] 102060K->102053K(524224K), 0.0031470 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.654: [GC (Allocation Failure) 0.654: [DefNew: 959K->64K(960K), 0.0024643 secs] 102949K->102943K(524224K), 0.0025208 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.660: [GC (Allocation Failure) 0.660: [DefNew: 960K->63K(960K), 0.0024164 secs] 103841K->103835K(524224K), 0.0024710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.664: [GC (Allocation Failure) 0.664: [DefNew: 959K->63K(960K), 0.0025851 secs] 104731K->104726K(524224K), 0.0026419 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.671: [GC (Allocation Failure) 0.671: [DefNew: 959K->63K(960K), 0.0025560 secs] 105625K->105619K(524224K), 0.0026140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.676: [GC (Allocation Failure) 0.676: [DefNew: 959K->63K(960K), 0.0025204 secs] 106516K->106510K(524224K), 0.0025929 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.682: [GC (Allocation Failure) 0.682: [DefNew: 959K->63K(960K), 0.0028000 secs] 107407K->107401K(524224K), 0.0028653 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.686: [GC (Allocation Failure) 0.686: [DefNew: 959K->63K(960K), 0.0024442 secs] 108299K->108293K(524224K), 0.0024955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.692: [GC (Allocation Failure) 0.692: [DefNew: 959K->63K(960K), 0.0022343 secs] 109192K->109185K(524224K), 0.0022869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.696: [GC (Allocation Failure) 0.696: [DefNew: 959K->63K(960K), 0.0025935 secs] 110082K->110076K(524224K), 0.0026465 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.703: [GC (Allocation Failure) 0.703: [DefNew: 959K->63K(960K), 0.0025848 secs] 110972K->110966K(524224K), 0.0026409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.707: [GC (Allocation Failure) 0.708: [DefNew: 959K->63K(960K), 0.0023730 secs] 111864K->111859K(524224K), 0.0024258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.712: [GC (Allocation Failure) 0.712: [DefNew: 959K->64K(960K), 0.0028343 secs] 112755K->112748K(524224K), 0.0028908 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.717: [GC (Allocation Failure) 0.717: [DefNew: 960K->63K(960K), 0.0032429 secs] 113645K->113640K(524224K), 0.0032960 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.722: [GC (Allocation Failure) 0.722: [DefNew: 959K->63K(960K), 0.0026010 secs] 114538K->114532K(524224K), 0.0026690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.726: [GC (Allocation Failure) 0.726: [DefNew: 959K->63K(960K), 0.0023375 secs] 115428K->115423K(524224K), 0.0023787 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
